,Obtained,Name,Source
0,,Wooden Greatshield,On ground: Stormveil Castle
1,,Lordsworn's Shield,"Enemy drop: Godrick Soldier (Sword & Shield) (Chance),"
2,,Briar Greatshield,"Enemy drop: Elemer of the Briar ,"
3,,Spiked Palisade Shield,On ground: Deep Siofra Well
4,,Icon Shield,On ground: Woodfolk Ruins
5,,Golden Beast Crest Shield,"Enemy drop: Grafted Scion in Chapel of Anticipation,"
6,,Manor Towershield,On ground: Stormveil Castle
7,,Crossed-Tree Towershield,Buy from merchant: Nomadic Merchant West Altus Plateau
8,,Inverted Hawk Towershield,"Enemy drop: Fallen Hawks Soldier (Chance),"
9,,Dragon Towershield,On ground: Crumbling Farum Azula
10,,Distinguished Greatshield,Buy from merchant: Hermit Merchant (Leyndell)
11,,Gilded Greatshield,"Enemy drop: Godrick Knight (Chance),"
12,,Cuckoo Greatshield,"Enemy drop: Raya Lucaria Knight (Chance),"
13,,Redmane Greatshield,"Enemy drop: Radahn Knight (Chance),"
14,,Golden Greatshield,"Enemy drop: Leyndell Knight (Chance),"
15,,Haligtree Crest Greatshield,"Enemy drop: Haligtree Knight (Chance),"
16,,Crucible Hornshield,"Enemy drop: Lesser Crucible Knight in Siofra Aqueduct,"
17,,Dragonclaw Shield,"Enemy drop: Draconic Tree Sentinel in Capital Outskirts,"
18,,Fingerprint Stone Shield,On ground: Cathedral of the Forsaken
19,,Eclipse Crest Greatshield,"Enemy drop: Mausoleum Knight (Chance),"
20,,Ant's Skull Plate,"On ground: Nokstella, Eternal City"
21,,Erdtree Greatshield,"Enemy drop: Tree Sentinel in Altus Plateau,"
22,,Jellyfish Shield,On ground: The Four Belfries
23,,Visage Shield,On ground: Caelem Ruins
24,,One-Eyed Shield,"Enemy drop: Chief Guardian Arghanthy ,"
25,,Black Steel Greatshield,
26,,Verdigris Greatshield,
0,,Carian Thrusting Shield,
1,,Dueling Shield,
0,,Commoner's Headband,On ground: Volcano Manor
1,,Commoner's Headband (Altered),"Crafted with Commoner's Headband Enemy drop: Commoner (Chance),"
2,,Aristocrat Headband,"Enemy drop: Noble Sorcerer (Chance),"
3,,Aristocrat Hat,"Enemy drop: Soldier Noble (Chance),"
4,,Old Aristocrat Cowl,"Enemy drop: Old Noble (Chance),"
5,,Page Hood,"Enemy drop: Page (Chance),"
6,,High Page Hood,"Enemy drop: High Page (Chance),"
7,,Guardian Mask,"Enemy drop: Guardian (Chance),"
8,,Festive Hood,"Enemy drop: Celebrant (Chance),"
9,,Festive Hood (Altered),Crafted with Festive Hood
10,,Blue Festive Hood,"Enemy drop: Celebrant (Chance),"
11,,Guilty Hood,On ground: Leyndell Royal Capital Buy from merchant: Nomadic Merchant Mt. Gelmir
12,,Prisoner Iron Mask,Buy from merchant: Hermit Merchant Ainsel River
13,,Blackguard's Iron Mask,Quest: Blackguard Big Boggart
14,,Bloodsoaked Mask,On ground: Subterranean Shunning-Grounds
15,,Black Dumpling,"Enemy drop: Albinauric in Volcano Manor (Chance),"
16,,Mushroom Head,On ground: Seethewater Cave
17,,Mushroom Crown,On ground: Lake of Rot
18,,Astrologer Hood,Buy from merchant: Nomadic Merchant Liurnia of the Lakes
19,,Juvenile Scholar Cap,On ground: Caria Manor
20,,Karolos Glintstone Crown,On ground: Raya Lucaria Academy
21,,Olivinus Glintstone Crown,On ground: Raya Lucaria Academy
22,,Twinsage Glintstone Crown,On ground: Raya Lucaria Academy
23,,Witch's Glintstone Crown,Quest: Sorceress Sellen
24,,Lazuli Glintstone Crown,On ground: Raya Lucaria Academy
25,,Haima Glintstone Crown,"Enemy drop: Battlemage (Chance),"
26,,Hierodas Glintstone Crown,On ground: Hermit Village
27,,Spellblade's Pointed Hat,Quest: Sorcerer Rogier
28,,Alberich's Pointed Hat,On ground: Leyndell Royal Capital
29,,Alberich's Pointed Hat (Altered),Crafted with Alberich's Pointed Hat
30,,Preceptor's Big Hat,Quest: Preceptor Seluvis
31,,Mask of Confidence,On ground: Carian Study Hall Quest: Ranni
32,,Azur's Glintstone Crown,Quest: Sorceress Sellen
33,,Lusat's Glintstone Crown,Quest: Sorceress Sellen
34,,Queen's Crescent Crown,Buy from merchant: Enia
35,,Snow Witch Hat,On ground: Renna's Rise Quest: Ranni
36,,Fia's Hood,Quest: Fia
37,,Prophet Blindfold,Buy from merchant: Hermit Merchant (Leyndell)
38,,Traveling Maiden Hood,On ground: Shack of the Lofty
39,,Finger Maiden Fillet,On ground: Church of Inhibition
40,,Sage Hood,On ground: Stillwater Cave
41,,Greathood,On ground: Stargazer's Ruins
42,,Radiant Gold Mask,On ground: Writheblood Ruins
43,,Perfumer Hood,"Enemy drop: Perfumer (Chance),"
44,,Traveler's Hat,On ground: Street of Sages Ruins
45,,Depraved Perfumer Headscarf,"Enemy drop: Depraved Perfumer (Chance),"
46,,Ruler's Mask,On ground: Altus Plateau
47,,Consort's Mask,Quest: Volcano Manor
48,,Marais Mask,"Enemy drop: Maleigh Marais, Shaded Castle Castellan ,"
49,,Great Horned Headband,"Enemy drop: Ancestral Follower (Chance),"
50,,Shining Horned Headband,"Enemy drop: Ancestral Follower Shaman (Chance),"
51,,Godskin Apostle Hood,"Enemy drop: Godskin Apostle in Divine Tower of Caelid,"
52,,Godskin Noble Hood,"Enemy drop: Godskin Noble in Divine Tower of Liurnia,"
53,,Sanguine Noble Hood,"Enemy drop: Sanguine Noble (NPC) ,"
54,,Crimson Tear Scarab,On ground: Volcano Manor
55,,Cerulean Tear Scarab,"On ground: Sellia, Town of Sorcery"
56,,Ash-of-War Scarab,On ground: Divine Tower of Limgrave
57,,Glintstone Scarab,On ground: Raya Lucaria Academy
58,,Incantation Scarab,On ground: Dragon-Burnt Ruins
59,,Imp Head (Cat),"Enemy drop: Fanged Imp (Chance),"
60,,Imp Head (Wolf),"On ground: Minor Erdtree Catacombs Enemy drop: Fanged Imp (Chance),"
61,,Imp Head (Fanged),"Enemy drop: Fanged Imp in Cliffbottom Catacombs (Chance),"
62,,Imp Head (Long-Tongued),"Enemy drop: Fanged Imp in Subterranean Shunning-Grounds (Chance),"
63,,Imp Head (Corpse),On ground: Leyndell Royal Capital
64,,Imp Head (Elder),On ground: Consecrated Snowfield Catacombs
65,,Nox Mirrorhelm,On ground: Cliffbottom Catacombs
66,,Iji's Mirrorhelm,Quest: Ranni
67,,Silver Tear Mask,"Enemy drop: Mimic Tear in Nokron, Eternal City,"
68,,Envoy Crown,On ground: Miquella's Haligtree
69,,Octopus Head,"Enemy drop: Land Octopus (Chance),"
70,,Jar,Quest: Iron Fist Alexander
71,,Albinauric Mask,On ground: Volcano Manor
72,,Black Wolf Mask,On ground: Seluvis's Rise
73,,Blue Cloth Cowl,Buy from merchant: Isolated Merchant Raya Lucaria
74,,Crimson Hood,Quest: Roderika
75,,Navy Hood,On ground: East Windmill Pasture
76,,White Mask,"Enemy drop: Nameless White Mask ,"
77,,Nomadic Merchant's Chapeau,On ground: Cathedral of the Forsaken
78,,Bandit Mask,Buy from merchant: Nomadic Merchant North Limgrave
79,,Black Hood,On ground: Sage's Cave
80,,Confessor Hood,Buy from merchant: Nomadic Merchant Mt. Gelmir
81,,Confessor Hood (Altered),Crafted with Confessor Hood
82,,Omensmirk Mask,"Enemy drop: Omenkiller in Leyndell Royal Capital,"
83,,Skeletal Mask,On ground: Sage's Cave
84,,Foot Soldier Helm,"Enemy drop: Soldier in Redmane Castle (Chance),"
85,,Foot Soldier Helmet,"Enemy drop: Soldier in Purified Ruins (Chance),"
86,,Foot Soldier Cap,"Enemy drop: Soldier (Chance),"
87,,Gilded Foot Soldier Cap,"Enemy drop: Leyndell Foot Soldier (Chance),"
88,,Sacred Crown Helm,"Enemy drop: Haligtree Foot Soldier (Chance),"
89,,Highwayman Hood,"Enemy drop: Highwayman (Chance),"
90,,Vulgar Militia Helm,"Enemy drop: Vulgar Militiamen (Chance),"
91,,Duelist Helm,"Enemy drop: Frenzied Duelist (Chance),"
92,,Rotten Duelist Helm,"Enemy drop: Rotten Duelist (Consecrated Snowfield) ,"
93,,Nox Monk Hood,"Enemy drop: Nox Monk (Chance),"
94,,Nox Monk Hood (Altered),Crafted with Nox Monk Hood
95,,Night Maiden Twin Crown,"Enemy drop: Night Maiden (Chance),"
96,,Nox Swordstress Crown,"Enemy drop: Nox Swordstress (Chance),"
97,,Nox Swordstress Crown (Altered),Crafted with Nox Swordstress Crown
98,,Champion Headband,Buy from merchant: Nomadic Merchant Caelid South
99,,Chain Coif,Buy from merchant: Merchant Kalé
100,,Iron Helmet,Buy from merchant: Nomadic Merchant Castle Morne Rampart
101,,Godrick Soldier Helm,"Enemy drop: Godrick Soldier (Sword & Shield) (Chance), Godrick Soldier (Sword) (Chance), Godrick Soldier (Warpick & Shield) (Chance),"
102,,Raya Lucarian Helm,"Enemy drop: Raya Lucaria Soldier (Chance),"
103,,Radahn Soldier Helm,"Enemy drop: Radahn Soldier (Chance),"
104,,Leyndell Soldier Helm,"Enemy drop: Leyndell Soldier (Chance),"
105,,Haligtree Helm,"Enemy drop: Haligtree Soldier (Chance),"
106,,Exile Hood,"Enemy drop: Exile Soldier (Chance),"
107,,Kaiden Helm,"Enemy drop: Kaiden Sellsword (Chance),"
108,,Land of Reeds Helm,Buy from merchant: Isolated Merchant Dragonbarrow
109,,Okina Mask,"Enemy drop: Bloody Finger Okina ,"
110,,Iron Kasa,Quest: Bloody Finger Hunter Yura
111,,Eccentric's Hood,Quest: Sorceress Sellen
112,,Eccentric's Hood (Altered),Crafted with Eccentric's Hood
113,,Marionette Soldier Helm,"Enemy drop: Marionette Soldier (Chance),"
114,,Marionette Soldier Birdhelm,"Enemy drop: Avionette Soldier (Chance),"
115,,Blue Silver Mail Hood,"Enemy drop: Albinauric Wolfback Archer (Chance),"
116,,Fire Monk Hood,"Enemy drop: Fire Monk (Chance),"
117,,Blackflame Monk Hood,"Enemy drop: Blackflame Monk (Chance),"
118,,Zamor Mask,"Enemy drop: Ancient Hero of Zamor in Giant-Conquering Hero's Grave,"
119,,Black Knife Hood,On ground: Ordina Liturgical Town
120,,Malenia's Winged Helm,Buy from merchant: Enia
121,,Elden Lord Crown,Buy from merchant: Enia
122,,Knight Helm,Buy from merchant: Twin Maiden Husks
123,,Vagabond Knight Helm,Buy from merchant: Hermit Merchant Mountaintops East
124,,Greathelm,Buy from merchant: Nomadic Merchant Caelid South
125,,Carian Knight Helm,On ground: Raya Lucaria Academy
126,,Godrick Knight Helm,"Enemy drop: Godrick Knight (Chance),"
127,,Cuckoo Knight Helm,"Enemy drop: Raya Lucaria Knight (Chance),"
128,,Redmane Knight Helm,"Enemy drop: Radahn Knight (Chance),"
129,,Gelmir Knight Helm,On ground: Gelmir Hero's Grave
130,,Leyndell Knight Helm,"Enemy drop: Leyndell Knight (Chance),"
131,,Haligtree Knight Helm,"On ground: Elphael, Brace of the Haligtree"
132,,Bloodhound Knight Helm,"Enemy drop: Bloodhound Knight (Gelmir Hero's Grave) in Gelmir Hero's Grave,"
133,,Cleanrot Helm,"Enemy drop: Lesser Cleanrot Knight in Swamp of Aeonia (Chance),"
134,,Cleanrot Helm (Altered),Crafted with Cleanrot Helm
135,,Raging Wolf Helm,"Quest: Volcano Manor Enemy drop: Vargram the Raging Wolf ,"
136,,Hoslow's Helm,"Quest: Volcano Manor Enemy drop: Juno Hoslow, Knight of Blood ,"
137,,Diallos's Mask,Quest: Diallos
138,,Twinned Helm,"Quest: D, Hunter of the Dead"
139,,Drake Knight Helm,On ground: Crumbling Farum Azula
140,,Drake Knight Helm (Altered),Crafted with Drake Knight Helm
141,,Briar Helm,Buy from merchant: Enia
142,,Fingerprint Helm,"Quest: Festering Fingerprint Vyke Enemy drop: Roundtable Knight Vyke ,"
143,,Royal Remains Helm,"Enemy drop: Ensha ,"
144,,All-Knowing Helm,"Enemy drop: Sir Gideon Ofnir, the All-Knowing ,"
145,,Royal Knight Helm,Buy from merchant: Enia
146,,Maliketh's Helm,Buy from merchant: Enia
147,,Banished Knight Helm,"Enemy drop: Banished Knight (Chance),"
148,,Banished Knight Helm (Altered),"Enemy drop: Banished Knight (Chance),"
149,,Night's Cavalry Helm,"Enemy drop: Night's Cavalry in Consecrated Snowfield,"
150,,Night's Cavalry Helm (Altered),Crafted with Night's Cavalry Helm
151,,Veteran's Helm,Buy from merchant: Enia
152,,Scaled Helm,"Quest: Volcano Manor Enemy drop: Old Knight Istvan ,"
153,,Beast Champion Helm,"Quest: Knight Bernahl Enemy drop: Recusant Bernahl ,"
154,,Tree Sentinel Helm,"Enemy drop: Chariot in Auriza Hero's Grave,"
155,,Malformed Dragon Helm,"Enemy drop: Draconic Tree Sentinel in Crumbling Farum Azula,"
156,,Crucible Axe Helm,"Enemy drop: Crucible Knight Ordovis ,"
157,,Crucible Tree Helm,On ground: Deeproot Depths
158,,Radahn's Redmane Helm,Buy from merchant: Enia
159,,Lionel's Helm,On ground: Leyndell Royal Capital
160,,Bull-Goat Helm,"Quest: Volcano Manor Enemy drop: Great Horned Tragoth (Chance),"
161,,Omen Helm,Quest: Dung Eater
162,,Fire Prelate Helm,"Enemy drop: Prelate (Chance),"
163,,Pumpkin Helm,"Enemy drop: Lesser Pumpkin Head (Chance),"
164,,Black Knight Helm,
165,,Caterpillar Mask,
166,,Circlet of Light,
167,,Common Soldier Helm,
168,,Crucible Hammer-Helm,
169,,Curseblade Mask,
170,,Dancer's Hood,
171,,Dane's Hat,
172,,Death Knight Helm,
173,,Death Mask Helm,
174,,Divine Beast Head,
175,,Divine Beast Helm,
176,,Divine Bird Helm,
177,,Fang Helm,
178,,Fire Knight Helm,
179,,Freyja's Helm,
180,,Gaius's Helm,
181,,Gravebird Helm,
182,,Greatjar,
183,,Helm of Night,
184,,Helm of Solitude,
185,,High Priest Hat,
186,,Horned Warrior Helm,
187,,Igon's Helm,
188,,Igon's Helm (Altered),
189,,Imp Head (Lion),
190,,Leather Crown,
191,,Leather Headband,
192,,Messmer Soldier Helm,
193,,Messmer's Helm,
194,,Messmer's Helm (Altered),
195,,Oathseeker Knight Helm,
196,,Pelt of Ralva,
197,,Rakshasa Helm,
198,,Rellana's Helm,
199,,Salza's Hood,
200,,Shadow Militiaman Helm,
201,,St. Trina's Blossom,
202,,Thiollier's Mask,
203,,Verdigris Helm,
204,,Winged Serpent Helm,
205,,Wise Man's Mask,
206,,Young Lion's Helm,
0,,Cloth Garb,On ground: Murkwater Cave
1,,Traveler's Clothes,"On ground: Elphael, Brace of the Haligtree"
2,,Commoner's Simple Garb,On ground: Stormveil Castle
3,,Commoner's Simple Garb (Altered),Crafted with Commoner's Simple Garb
4,,Commoner's Garb,"Enemy drop: Commoner (Chance),"
5,,Commoner's Garb (Altered),Crafted with Commoner's Garb
6,,Aristocrat Garb,"Enemy drop: Noble Sorcerer (Chance),"
7,,Aristocrat Garb (Altered),"Crafted with Aristocrat Garb Enemy drop: Common Noble (Chance),"
8,,Aristocrat Coat,"Enemy drop: Soldier Noble (Chance),"
9,,Old Aristocrat Gown,"Enemy drop: Old Noble (Chance),"
10,,Page Garb,"Enemy drop: Page (Chance),"
11,,Page Garb (Altered),Crafted with Page Garb
12,,High Page Clothes,"Enemy drop: High Page (Chance),"
13,,High Page Clothes (Altered),"Enemy drop: High Page in Leyndell Royal Capital (Chance),"
14,,Guardian Garb,"Enemy drop: Guardian (Chance),"
15,,Guardian Garb (Full Bloom),"Enemy drop: Guardian in Leyndell Royal Capital (Chance),"
16,,Festive Garb,"Enemy drop: Celebrant (Chance),"
17,,Festive Garb (Altered),"Enemy drop: Celebrant (Chance),"
18,,Blue Festive Garb,"Enemy drop: Celebrant (Chance),"
19,,Prisoner Clothing,Buy from merchant: Hermit Merchant Ainsel River
20,,Mushroom Body,On ground: Seethewater Cave
21,,Astrologer Robe,Buy from merchant: Nomadic Merchant Liurnia of the Lakes
22,,Astrologer Robe (Altered),Crafted with Astrologer Robe
23,,Juvenile Scholar Robe,On ground: Caria Manor
24,,Raya Lucarian Robe,"Enemy drop: Glintstone Sorcerer (Chance), Twinsage Sorcerer (Chance),"
25,,Lazuli Robe,"Enemy drop: Lazuli Sorcerer (Chance),"
26,,Battlemage Robe,"Enemy drop: Battlemage (Chance),"
27,,Errant Sorcerer Robe,On ground: Hermit Village
28,,Errant Sorcerer Robe (Altered),Crafted with Errant Sorcerer Robe
29,,Spellblade's Traveling Attire,Quest: Sorcerer Rogier
30,,Spellblade's Traveling Attire (Altered),Crafted with Spellblade's Traveling Attire
31,,Alberich's Robe,On ground: Leyndell Royal Capital
32,,Alberich's Robe (Altered),Crafted with Alberich's Robe
33,,Azur's Glintstone Robe,Quest: Sorceress Sellen
34,,Preceptor's Long Gown,Quest: Preceptor Seluvis
35,,Preceptor's Long Gown (Altered),Crafted with Preceptor's Long Gown
36,,Lusat's Robe,Quest: Sorceress Sellen
37,,Queen's Robe,Buy from merchant: Enia
38,,Snow Witch Robe,On ground: Renna's Rise Quest: Ranni
39,,Fia's Robe,Quest: Fia
40,,Snow Witch Robe (Altered),Crafted with Snow Witch Robe
41,,Fia's Robe (Altered),Crafted with Fia's Robe
42,,Deathbed Dress,On ground: Leyndell Royal Capital
43,,Prophet Robe,Buy from merchant: Hermit Merchant (Leyndell)
44,,Prophet Robe (Altered),Crafted with Prophet Robe
45,,Corhyn's Robe,Quest: Brother Corhyn
46,,Traveling Maiden Robe,On ground: Shack of the Lofty
47,,Traveling Maiden Robe (Altered),Crafted with Traveling Maiden Robe
48,,Finger Maiden Robe,On ground: Church of Inhibition
49,,Finger Maiden Robe (Altered),Crafted with Finger Maiden Robe
50,,Sage Robe,On ground: Stillwater Cave
51,,Goldmask's Rags,Quest: Brother Corhyn
52,,Perfumer Robe,"Enemy drop: Perfumer (Chance),"
53,,Perfumer Robe (Altered),Crafted with Perfumer Robe
54,,Perfumer's Traveling Garb,On ground: Street of Sages Ruins
55,,Perfumer's Traveling Garb (Altered),Crafted with Perfumer's Traveling Garb
56,,Depraved Perfumer Robe (Altered),"Crafted with Depraved Perfumer Robe Enemy drop: Depraved Perfumer (Chance),"
57,,Depraved Perfumer Robe,"Enemy drop: Depraved Perfumer (Chance),"
58,,Upper-Class Robe,On ground: Leyndell Royal Capital Buy from merchant: Hermit Merchant (Leyndell)
59,,Ruler's Robe,On ground: Altus Plateau
60,,Consort's Robe,Quest: Volcano Manor
61,,Official's Attire,On ground: Forbidden Lands
62,,Marais Robe,"Enemy drop: Maleigh Marais, Shaded Castle Castellan ,"
63,,Fur Raiment,"Enemy drop: Ancestral Follower (Chance),"
64,,Shaman Furs,"Enemy drop: Ancestral Follower Shaman (Chance),"
65,,Godskin Apostle Robe,"Enemy drop: Godskin Apostle in Divine Tower of Caelid,"
66,,Godskin Noble Robe,"Enemy drop: Godskin Noble in Divine Tower of Liurnia,"
67,,Fell Omen Cloak,Buy from merchant: Enia
68,,Sanguine Noble Robe,"Enemy drop: Sanguine Noble (NPC) ,"
69,,Lord of Blood's Robe,Buy from merchant: Enia
70,,Lord of Blood's Robe (Altered),Crafted with Lord of Blood's Robe
71,,Leather Armor,"Quest: Patches Enemy drop: Patches in The Shaded Castle,"
72,,Blue Cloth Vest,Buy from merchant: Isolated Merchant Raya Lucaria
73,,Noble's Traveling Garb,On ground: East Windmill Pasture
74,,War Surgeon Gown,Crafted with War Surgeon Gown (Altered)
75,,War Surgeon Gown (Altered),"Enemy drop: Nameless White Mask ,"
76,,Nomadic Merchant's Finery,On ground: Cathedral of the Forsaken
77,,Nomadic Merchant's Finery (Altered),Crafted with Nomadic Merchant's Finery
78,,Bandit Garb,Buy from merchant: Gatekeeper Gostoc
79,,Confessor Armor,Buy from merchant: Nomadic Merchant Mt. Gelmir
80,,Confessor Armor (Altered),Crafted with Confessor Armor
81,,Omenkiller Robe,"Enemy drop: Omenkiller in Perfumer's Ruins,"
82,,Raptor's Black Feathers,On ground: Sage's Cave
83,,Foot Soldier Tabard,"Enemy drop: Soldier in Purified Ruins (Chance),"
84,,Leather-Draped Tabard,"Enemy drop: Leyndell Foot Soldier (Chance),"
85,,Chain-Draped Tabard,"Enemy drop: Soldier (Chance),"
86,,Ivory-Draped Tabard,"Enemy drop: Haligtree Foot Soldier (Chance),"
87,,Scarlet Tabard,"Enemy drop: Radahn Soldier (Chance),"
88,,Bloodsoaked Tabard,"Enemy drop: Mausoleum Foot Soldier (Chance),"
89,,Highwayman Cloth Armor,"Enemy drop: Highwayman (Chance),"
90,,Vulgar Militia Armor,"Enemy drop: Vulgar Militiamen (Chance),"
91,,Gravekeeper Cloak,"Enemy drop: Frenzied Duelist (Chance),"
92,,Gravekeeper Cloak (Altered),Crafted with Gravekeeper Cloak
93,,Rotten Gravekeeper Cloak,"Enemy drop: Putrid Grave Warden Duelist , Rotten Duelist (Consecrated Snowfield Catacombs) ,"
94,,Rotten Gravekeeper Cloak (Altered),Crafted with Rotten Gravekeeper Cloak
95,,Nox Monk Armor,"Enemy drop: Nox Monk (Chance),"
96,,Nox Monk Armor (Altered),Crafted with Nox Monk Armor
97,,Nox Swordstress Armor,"Enemy drop: Nox Swordstress (Chance),"
98,,Nox Swordstress Armor (Altered),Crafted with Nox Swordstress Armor
99,,Night Maiden Armor,"Enemy drop: Night Maiden (Chance),"
100,,Champion Pauldron,Buy from merchant: Nomadic Merchant Caelid South
101,,Chain Armor,Buy from merchant: Merchant Kalé
102,,Dirty Chainmail,"Enemy drop: Albinauric in Academy Gate Town (Chance),"
103,,Tree Surcoat,Buy from merchant: Nomadic Merchant West Altus Plateau
104,,Eye Surcoat,On ground: Volcano Manor
105,,Tree-and-Beast Surcoat,"Enemy drop: Godrick Soldier (Sword & Shield) (Chance), Godrick Soldier (Sword) (Chance), Godrick Soldier (Warpick & Shield) (Chance),"
106,,Cuckoo Surcoat,"Enemy drop: Raya Lucaria Soldier (Chance),"
107,,Redmane Surcoat,"Enemy drop: Radahn Soldier (Chance),"
108,,Erdtree Surcoat,"Enemy drop: Leyndell Soldier (Chance),"
109,,Haligtree Crest Surcoat,"Enemy drop: Haligtree Soldier (Chance),"
110,,Mausoleum Surcoat,"Enemy drop: Mausoleum Soldier (Chance),"
111,,Scale Armor,Buy from merchant: Nomadic Merchant Castle Morne Rampart
112,,Exile Armor,"Enemy drop: Exile Soldier (Chance),"
113,,Kaiden Armor,"Enemy drop: Kaiden Sellsword (Chance),"
114,,Land of Reeds Armor,Buy from merchant: Isolated Merchant Dragonbarrow
115,,Land of Reeds Armor (Altered),Crafted with Land of Reeds Armor
116,,White Reed Armor,On ground: Spiritcaller's Cave
117,,Ronin's Armor,Quest: Bloody Finger Hunter Yura
118,,Ronin's Armor (Altered),Crafted with Ronin's Armor
119,,Eccentric's Armor,Quest: Sorceress Sellen
120,,Marionette Soldier Armor,"Enemy drop: Marionette Soldier (Chance),"
121,,Blue Silver Mail Armor,"Enemy drop: Albinauric Wolfback Archer (Chance),"
